M1DK,20210917,-13,-13,-13,-13,7400
M1DL,20210917,-32,-32,-32,-32,338800
M1DM,20210917,-2,-2,-2,-2,3200
M1DN,20210917,-221,-221,-221,-221,208700
M1DO,20210917,-20,-20,-20,-20,10000
M1DP,20210917,-102,-102,-102,-102,49600
M1DQ,20210917,-68,-68,-68,-68,328600
M1DR,20210917,-4,-4,-4,-4,2900
M1DS,20210917,-9,-9,-9,-9,6300
M1DT,20210917,6,6,6,6,2200
M1DU,20210917,11,11,11,11,294300
M1DV,20210917,-310,-310,-310,-310,479600
M1DW,20210917,-1,-1,-1,-1,2600
M1DX,20210917,-299,-299,-299,-299,557500
M1DY,20210917,0.01,0.01,0.01,0.01,6300
M1DZ,20210917,-251,-251,-251,-251,264600
M1HA,20210917,14,14,14,14,20200
M1HB,20210917,0.01,0.01,0.01,0.01,2800
M1HC,20210917,178,178,178,178,194900
M1HE,20210917,55,55,55,55,205400
M1HF,20210917,4,4,4,4,5800
M1HG,20210917,71,71,71,71,100400
M1HH,20210917,341,341,341,341,435100
M1HI,20210917,0.01,0.01,0.01,0.01,7300
M1HJ,20210917,1,1,1,1,2800
M1HK,20210917,1,1,1,1,7400
M1HL,20210917,184,184,184,184,338800
M1HM,20210917,0.01,0.01,0.01,0.01,3200
M1HN,20210917,182,182,182,182,208700
M1HO,20210917,8,8,8,8,10000
M1HP,20210917,29,29,29,29,49600
M1HQ,20210917,329,329,329,329,328600
M1HR,20210917,1,1,1,1,2900
M1HS,20210917,3,3,3,3,6300
M1HT,20210917,6,6,6,6,2200
M1HU,20210917,137,137,137,137,294300
M1HV,20210917,388,388,388,388,479600
M1HW,20210917,3,3,3,3,2600
M1HX,20210917,525,525,525,525,557500
M1HY,20210917,10,10,10,10,6300
M1HZ,20210917,212,212,212,212,264600
M1LA,20210917,24,24,24,24,20200
M1LB,20210917,17,17,17,17,2800
M1LC,20210917,285,285,285,285,194900
M1LE,20210917,275,275,275,275,205400
M1LF,20210917,15,15,15,15,5800
M1LG,20210917,231,231,231,231,100400
M1LH,20210917,608,608,608,608,435100
M1LI,20210917,31,31,31,31,7300
M1LJ,20210917,21,21,21,21,2800
M1LK,20210917,14,14,14,14,7400
M1LL,20210917,216,216,216,216,338800
M1LM,20210917,2,2,2,2,3200
M1LN,20210917,403,403,403,403,208700
M1LO,20210917,28,28,28,28,10000
M1LP,20210917,131,131,131,131,49600
M1LQ,20210917,397,397,397,397,328600
M1LR,20210917,5,5,5,5,2900
M1LS,20210917,12,12,12,12,6300
M1LT,20210917,0.01,0.01,0.01,0.01,2200
M1LU,20210917,126,126,126,126,294300
M1LV,20210917,698,698,698,698,479600
M1LW,20210917,4,4,4,4,2600
M1LX,20210917,824,824,824,824,557500
M1LY,20210917,10,10,10,10,6300
M1LZ,20210917,463,463,463,463,264600
M3DA,20210917,-12,-12,-12,-12,20200
M3DB,20210917,-6,-6,-6,-6,2800
M3DC,20210917,-63,-63,-63,-63,194900
M3DE,20210917,-29,-29,-29,-29,205400
M3DF,20210917,1,1,1,1,5800
M3DG,20210917,-48,-48,-48,-48,100400
M3DH,20210917,-81,-81,-81,-81,435100
M3DI,20210917,-12,-12,-12,-12,7300
M3DJ,20210917,-3,-3,-3,-3,2800
M3DK,20210917,-5,-5,-5,-5,7400
M3DL,20210917,-100,-100,-100,-100,338800
M3DM,20210917,0.01,0.01,0.01,0.01,3200
M3DN,20210917,-92,-92,-92,-92,208700
M3DO,20210917,-6,-6,-6,-6,10000
M3DP,20210917,-26,-26,-26,-26,49600
M3DQ,20210917,-77,-77,-77,-77,328600
M3DR,20210917,0.01,0.01,0.01,0.01,2900
M3DS,20210917,-2,-2,-2,-2,6300
M3DT,20210917,1,1,1,1,2200
M3DU,20210917,-18,-18,-18,-18,294300
M3DV,20210917,-163,-163,-163,-163,479600
M3DW,20210917,-3,-3,-3,-3,2600
M3DX,20210917,-181,-181,-181,-181,557500
M3DY,20210917,3,3,3,3,6300
M3DZ,20210917,-85,-85,-85,-85,264600
M3HA,20210917,6,6,6,6,20200
M3HB,20210917,0.01,0.01,0.01,0.01,2800
M3HC,20210917,87,87,87,87,194900
M3HE,20210917,24,24,24,24,205400
M3HF,20210917,3,3,3,3,5800
M3HG,20210917,36,36,36,36,100400
M3HH,20210917,178,178,178,178,435100
M3HI,20210917,0.01,0.01,0.01,0.01,7300
M3HJ,20210917,0.01,0.01,0.01,0.01,2800
M3HK,20210917,1,1,1,1,7400
M3HL,20210917,47,47,47,47,338800
M3HM,20210917,0.01,0.01,0.01,0.01,3200
M3HN,20210917,83,83,83,83,208700
M3HO,20210917,3,3,3,3,10000
M3HP,20210917,13,13,13,13,49600
M3HQ,20210917,136,136,136,136,328600
M3HR,20210917,0.01,0.01,0.01,0.01,2900
M3HS,20210917,3,3,3,3,6300
M3HT,20210917,1,1,1,1,2200
M3HU,20210917,42,42,42,42,294300
M3HV,20210917,183,183,183,183,479600
M3HW,20210917,0.01,0.01,0.01,0.01,2600
M3HX,20210917,225,225,225,225,557500
M3HY,20210917,5,5,5,5,6300
M3HZ,20210917,110,110,110,110,264600
M3LA,20210917,18,18,18,18,20200
M3LB,20210917,6,6,6,6,2800
M3LC,20210917,150,150,150,150,194900
M3LE,20210917,53,53,53,53,205400
M3LF,20210917,2,2,2,2,5800
M3LG,20210917,84,84,84,84,100400
M3LH,20210917,259,259,259,259,435100
M3LI,20210917,12,12,12,12,7300
M3LJ,20210917,3,3,3,3,2800
